TRACTCE,Status,NTA Name,Median Family Income,SNAP Benefits %,Education below high school diploma,Pop earning <=40K,Food Index
098200,LILA Zone,Canarsie,22055.0,0.47532314062119996,0.3131122887135,0.6804687380790999,0.10200210084033615
052900,LILA Zone,South Williamsburg,32250.0,0.45847553014759995,0.3363949358463,0.5992414355278001,0.351436974789916
036002,LILA Zone,Brighton Beach,36853.0,0.6182795763015999,0.1354679763317,0.6445782780646999,0.21768067226890758
025000,LILA Zone,Bensonhurst,54006.0,0.18773233890529997,0.46968472003940004,0.24598930776119998,0.33380672268907563
023600,LILA Zone,Borough Park,28375.0,0.5429403185844001,0.2296905219555,0.6371268630028001,0.29534453781512604
035601,LILA Zone,Coney Island-Sea Gate,60000.0,0.45833334326740005,0.0357894748449,0.4884287416935,0.22757142857142856
027600,LILA Zone,Bensonhurst,54861.0,0.33029800653459995,0.3731105923653,0.3402399122715,0.5899579831932773
025902,LILA Zone,Bedford-Stuyvesant (West),22599.0,0.6647015213966,0.3786913752556,0.7955209612846,0.06284033613445378
117000,LILA Zone,Cypress Hills,40833.0,0.435020506382,0.3133281469345,0.5940803289413,0.4055441176470589
028501,LILA Zone,Bedford-Stuyvesant (East),87750.0,0.34210526943209996,0.4440559446812,0.4848484992981,0.24225420168067227
002300,LILA Zone,Downtown Brooklyn-DUMBO-Boerum Hill,24247.0,0.5837287902831999,0.2288483083248,0.7614917755127,0.10055462184873953
008500,LILA Zone,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,17528.0,0.6102080345154,0.3771089911460999,0.6988922357559,0.07248319327731095
052500,LILA Zone,Williamsburg,30742.0,0.5567176342010001,0.2534582912922,0.5295857787132,0.4025084033613446
121000,LILA Zone,East New York-City Line,21205.0,0.7391037344933,0.2716468572617,0.7214735150337,0.1356449579831933
020500,LILA Zone,Prospect Heights,130536.0,0.041724618524300004,0.0166802275926,0.10366825759410002,0.6029054621848741
053500,LILA Zone,South Williamsburg,24795.0,0.7157418131828002,0.35742971301079995,0.6310013532639001,0.29663445378151265
094402,LILA Zone,Flatlands,30625.0,0.4533834457397001,0.1928251087666,0.6912087798119,0.13028571428571428
053900,LILA Zone,South Williamsburg,26361.0,0.4586636424065,0.4201141297817,0.6114457845688,0.15396638655462186
057200,LILA Zone,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32348.0,0.5,0.2031496018171,0.6131611466408,0.17951890756302522
080800,LILA Zone,Prospect Lefferts Gardens-Wingate,40167.0,0.6275861859322,0.2885813117027,0.6424870491028001,0.1496806722689076
045300,LILA Zone,East Williamsburg,38981.0,0.2005943506956,0.3025343120098,0.6122449040413,0.2837731092436975
012801,LILA Zone,Dyker Heights,50833.0,0.1817042678595,0.3926571309566,0.5392156839371,0.2373949579831933
022000,LILA Zone,Borough Park,30583.0,0.2970742583275,0.2445454597473,0.6498316526413,0.26734663865546215
054500,LILA Zone,South Williamsburg,26303.0,0.6528857946396,0.34665966033940004,0.6629339456558,0.19152100840336136
110600,LILA Zone,East New York-New Lots,25479.0,0.6771948337555,0.2886266112328,0.6165898442268001,0.11871428571428574
053300,LILA Zone,South Williamsburg,28091.0,0.5195954442024,0.23219583928589999,0.585029065609,0.22838235294117648
050900,LILA Zone,South Williamsburg,37132.0,0.467045456171,0.3920245468616,0.5612366199493001,0.16050420168067225
091200,LILA Zone,Brownsville,25859.0,0.6720682382584,0.2958791255951,0.5133228898048,0.12542857142857142
002901,LILA Zone,Fort Greene,36875.0,0.6111488938331999,0.33106318116190003,0.6410256624221999,0.10939285714285715
012000,LILA Zone,Dyker Heights,58269.0,0.2159090936184,0.5711086392403001,0.47647058963780003,0.32123529411764706
121400,LILA Zone,East New York-City Line,27044.0,0.6266015768051,0.22394137084479998,0.6844968199729999,0.08614285714285713
117800,LILA Zone,Cypress Hills,46094.0,0.34799236059190003,0.3284671604633,0.6215053796768001,0.30166596638655463
022200,LILA Zone,Borough Park,40455.0,0.5878311991692,0.2045161277056,0.481257557869,0.3861533613445378
002000,LILA Zone,Sunset Park (West),68529.0,0.28350514173509994,0.5206508040428,0.37288135290150004,0.1692857142857143
