TRACTCE,clusters
057800,0
037000,0
019900,0
040000,0
098200,-1
082000,0
079801,0
019800,0
036900,0
052900,-1
056800,0
015500,0
107800,0
018700,0
044600,0
050500,0
005100,0
045800,0
046202,0
057400,0
000900,0
098400,0
098600,0
100600,0
029100,0
040300,0
004100,0
039200,0
034300,0
072600,0
021000,0
015200,0
020200,0
020600,0
109800,0
038500,0
047700,0
048000,0
036502,0
018000,0
018300,0
074200,0
076400,0
024500,0
064800,0
055200,0
022600,0
019200,0
039500,0
051601,0
023300,0
028300,0
069800,0
036002,-1
051100,0
006700,0
067000,0
100400,0
018400,0
022100,0
037402,0
042300,0
017400,0
027100,0
114600,0
101800,0
116400,0
014000,0
049800,0
085600,0
086600,0
043500,0
075000,0
025000,-1
023600,-1
024100,0
066200,0
068600,0
043200,0
116200,0
043900,0
004900,0
050700,0
025400,0
118202,0
057600,0
081800,0
050803,0
058000,0
079601,0
037100,0
018501,0
095600,0
035601,-1
027600,-1
025700,0
055500,0
056600,0
059300,0
025902,-1
055700,0
003300,0
026700,0
083200,0
080200,0
029900,0
040400,0
117000,-1
118800,0
005202,0
006400,0
017200,0
028400,0
028501,-1
055600,0
092800,0
014300,0
036001,0
029700,0
034500,0
030400,0
006600,0
044100,0
038700,0
062000,0
001100,0
002300,-1
016700,0
097000,0
097400,0
100800,0
101600,0
029300,0
031900,0
038100,0
041800,0
051200,0
008500,-1
037700,0
007600,0
009600,0
119200,0
025600,0
120000,0
019600,0
020000,0
052500,-1
053200,0
058400,0
065600,0
036200,0
061004,0
069601,0
105804,0
046400,0
046800,0
063200,0
027300,0
032500,0
030300,0
056100,0
000502,0
032600,0
067400,0
041100,0
005400,0
028600,0
121000,-1
012901,0
037401,0
070201,0
004300,0
024200,0
077000,0
020500,-1
021800,0
048100,0
034100,0
049900,0
050300,0
042900,0
073600,0
000100,0
036400,0
053500,-1
150200,0
094402,-1
013000,0
053400,0
053900,-1
110400,0
087800,0
026300,0
057200,-1
065800,0
073800,0
074400,0
072000,0
027500,0
073400,0
028000,0
026500,0
032800,0
080800,-1
078200,0
049500,0
027000,0
028900,0
042100,0
045300,-1
051602,0
008200,0
019400,0
091800,0
092200,0
048600,0
116600,0
117400,0
024700,0
117601,0
027400,0
024300,0
004400,0
095800,0
037300,0
065000,0
056400,0
064400,0
065200,0
066000,0
003800,0
039000,0
028800,0
093200,0
099400,0
033300,0
038600,0
054800,0
039900,0
044000,0
045000,0
026100,0
018600,0
052000,0
059200,0
015100,0
042000,0
043400,0
022800,0
023000,0
116000,0
011700,0
012801,-1
056200,0
056900,0
061002,0
013800,0
088800,0
006300,0
029600,0
029800,0
117602,0
051300,0
017800,0
013200,0
006000,0
082800,0
022000,-1
099000,0
054500,-1
059000,0
114202,0
054200,0
110600,-1
117202,0
118201,0
013100,0
078000,0
065400,0
025100,0
010100,0
084600,0
034700,0
056000,0
030100,0
044700,0
053300,-1
012100,0
060600,0
013500,0
088400,0
049400,0
008400,0
083800,0
036501,0
062600,0
041402,0
044300,0
072400,0
043300,0
005602,0
038300,0
085000,0
045600,0
061600,0
025300,0
094401,0
007100,0
050804,0
080400,0
019300,0
078400,0
049600,0
024600,0
008800,0
050900,-1
057300,0
017900,0
032100,0
021900,0
057100,0
111600,0
099600,0
081400,0
051400,0
014800,0
087401,0
058800,0
101400,0
057500,0
081000,0
091200,-1
040600,0
012700,0
008000,0
075600,0
063600,0
061003,0
051001,0
020100,0
068000,0
002901,-1
